Graph:
uk.ac.bris.cs.scotlandyard.model.a@46172aa6 -> uk.ac.bris.cs.scotlandyard.model.a@e30ae20 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@46172aa6 -> uk.ac.bris.cs.scotlandyard.model.a@3a0f9434 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@46172aa6 -> uk.ac.bris.cs.scotlandyard.model.a@29c53a86 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@6fadb5be -> uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@6fadb5be -> uk.ac.bris.cs.scotlandyard.model.a@717b60e6 [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@6fadb5be -> uk.ac.bris.cs.scotlandyard.model.a@764321dc [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@717b60e6 -> uk.ac.bris.cs.scotlandyard.model.a@7822cf22 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@717b60e6 -> uk.ac.bris.cs.scotlandyard.model.a@2439f430 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@717b60e6 -> uk.ac.bris.cs.scotlandyard.model.a@52f4ec90 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@717b60e6 -> uk.ac.bris.cs.scotlandyard.model.a@7a20859d [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@717b60e6 -> uk.ac.bris.cs.scotlandyard.model.a@7ab18147 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 -> uk.ac.bris.cs.scotlandyard.model.a@419bf480 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 -> uk.ac.bris.cs.scotlandyard.model.a@2cafed44 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 -> uk.ac.bris.cs.scotlandyard.model.a@347e1ef3 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 -> uk.ac.bris.cs.scotlandyard.model.a@6862e7a4 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@5a4b8147 -> uk.ac.bris.cs.scotlandyard.model.a@2a6800f7 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@764321dc -> uk.ac.bris.cs.scotlandyard.model.a@4f50e34a [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@764321dc -> uk.ac.bris.cs.scotlandyard.model.a@5f52f8d0 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@764321dc -> uk.ac.bris.cs.scotlandyard.model.a@307062c3 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@764321dc -> uk.ac.bris.cs.scotlandyard.model.a@74fdc741 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@764321dc -> uk.ac.bris.cs.scotlandyard.model.a@1cc6f85b [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@3cff3027 -> uk.ac.bris.cs.scotlandyard.model.a@341039d0 [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@3cff3027 -> uk.ac.bris.cs.scotlandyard.model.a@4eab55db [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@3cff3027 -> uk.ac.bris.cs.scotlandyard.model.a@faa2b01 [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@faa2b01 -> uk.ac.bris.cs.scotlandyard.model.a@4776c65c [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@faa2b01 -> uk.ac.bris.cs.scotlandyard.model.a@463c7986 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@faa2b01 -> uk.ac.bris.cs.scotlandyard.model.a@3789133b [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@faa2b01 -> uk.ac.bris.cs.scotlandyard.model.a@1890abb6 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@faa2b01 -> uk.ac.bris.cs.scotlandyard.model.a@5d2bc63c [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@341039d0 -> uk.ac.bris.cs.scotlandyard.model.a@73fa9f6a [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@341039d0 -> uk.ac.bris.cs.scotlandyard.model.a@6830f040 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@341039d0 -> uk.ac.bris.cs.scotlandyard.model.a@c154518 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@341039d0 -> uk.ac.bris.cs.scotlandyard.model.a@4691e67c [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@341039d0 -> uk.ac.bris.cs.scotlandyard.model.a@2940e9ff [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@4eab55db -> uk.ac.bris.cs.scotlandyard.model.a@698d92ab [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@4eab55db -> uk.ac.bris.cs.scotlandyard.model.a@20e63be0 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@4eab55db -> uk.ac.bris.cs.scotlandyard.model.a@5e3735f9 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@4eab55db -> uk.ac.bris.cs.scotlandyard.model.a@4f3b6d4c [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@4eab55db -> uk.ac.bris.cs.scotlandyard.model.a@5b2afcfd [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@4f9f2ce4 -> uk.ac.bris.cs.scotlandyard.model.a@5bda7956 [Value: TAXI(BLUE@50, 49)]
uk.ac.bris.cs.scotlandyard.model.a@4f9f2ce4 -> uk.ac.bris.cs.scotlandyard.model.a@63697638 [Value: TAXI(BLUE@50, 38)]
uk.ac.bris.cs.scotlandyard.model.a@4f9f2ce4 -> uk.ac.bris.cs.scotlandyard.model.a@153dbe27 [Value: TAXI(BLUE@50, 37)]
